//버전	//변수명	명칭	기본생성개수	최대곂침개수	1차아이템종류	2차아이템종류	3차아이템종류	아이템직업소속	소비불가	사용가능	사용성별	가격	내구력	마모도	경도	잡는형식	굽높이	장착위치	장착위치	파츠파일	제거될위치	기본부위무시	아이템레벨	희귀성	상점판매가능	로그남길것	상용화 판단	필요 아이템	필요 아이템종류	최소능력	최대능력	공격 속성	속성 공격력	회피율	블럭율	최소추가스킬	최대추가스킬	공격 스타일	무기종류	아이템1차공격순서	아이템2차공격순서	아이템3차공격순서	아이템4차공격순서	지속피해	최대장전개수	반동	장전시간	추가공격성공률	공격속도	타격시 반동	공격범위	적용확률	적용대상1	적용대상2	적용대상3	적용값1	적용값2	적용값3	적용변화값1	적용변화값2	적용변화값3	참조값 1	참조값 2	참조값 3	발동 마법	발동 레벨	마법 확률	필요MP	필요FP	학과필요레벨	선행스킬1	선행스킬레벨1	선행스킬2	선행스킬 레벨2	기술준비	기술 준비시간	기술 시전거리	원소이펙트	사용 효과(시전)	효과 2 (발사체)	"효과 3 (발동효과,타겟)"	효과 4 (유지효과)	"효과 5 (발동효과,시전자)"	사용 모션	유지시간	지속시간	발동대상	사용시기	마법범위	마법속성	참조스탯1	참조스탯2	참조타겟1	참조타겟2	참조수치1	참조수치2	기술속성	전기저항	불저항	바람저항	물저항	땅저항	악행	숙련레벨	최대숙련레벨	서브디파인위치	현재경험치	연속기술방식	비행속도	비행선회각(좌우)	비행선회각(상하)	비행제한레벨	비행연료충전량	가속연료충전량	팩당연료충전량	제한레벨1	반사광	공격음1(무기 타격음)	공격음2(무기 크리티컬)	아이콘파일	퀘스트 ID	텍스트 파일명	설명
//ver	//dwID	szName	dwNum	dwPackMax	dwItemKind1	dwItemKind2	dwItemKind3	dwItemJob	bPermanence	dwUseable	dwItemSex	dwCost	dwEndurance	nAbrasion	nHardness	dwHanded	dwHeelH	dwParts	dwPartsub	bPartFile	dwExclusive	dwBasePartsIgnore	dwItemLV	dwItemRare	dwShopAble	bLog	bCharged	dwLinkKindBullet 	dwLinkKind	dwAbilityMin	dwAbilityMax	eItemType	wItemEAtk	dwparry	dwblockRating	dwAddSkillMin	dwAddSkillMax	dwAtkStyle	dwWeaponType	dwItemAtkOrder1	dwItemAtkOrder2	dwItemAtkOrder3	dwItemAtkOrder4	tmContinuousPain	dwShellQuantity	dwRecoil	dwLoadingTime	nAdjHitRate	dwAttackSpeed	dwDmgShift	dwAttackRange	dwProbability	dwDestParam1	dwDestParam2	dwDestParam3	nAdjParamVal1	nAdjParamVal2	nAdjParamVal3	dwChgParamVal1	dwChgParamVal2	dwChgParamVal3	dwdestData1	dwdestData2	dwdestData3	dwactiveskill	dwactiveskillLv	dwactiveskillper	dwReqMp	dwRepFp	dwReqDisLV	dwReSkill1	dwReSkillLevel1	dwReSkill2	dwReSkillLevel2	dwSkillReadyType	dwSkillReady	dwSkillRange	dwSfxElemental	dwSfxObj	dwSfxObj2	dwSfxObj3	dwSfxObj4	dwSfxObj5	"dwUseMotion(01,02,03 번호 붙여 다음 동작연결)"	dwCircleTime	dwSkillTime	dwExeTarget	dwUseChance	dwSpellRegion	dwSpellType	dwReferStat1	dwReferStat2	dwReferTarget1	dwReferTarget2	dwReferValue1	dwReferValue2	dwSkillType	fItemResistElecricity	fItemResistFire	fItemResistWind	fItemResistWater	fItemResistEarth	nEvildoing	dwExpertLV	ExpertMax	dwSubDefine	dwExp	dwComboStyle	fFlightSpeed	fFlightLRAngle	fFlightTBAngle	dwFlightLimit	dwFFuelReMax	dwAFuelReMax	dwFuelRe	dwLimitLevel1	dwReflect	dwSndAttack1	dwSndAttack2	szIcon	dwQuestID	szTextFile	szComment
6	SI_MER_SUP_SMITEAXE	IDS_PROPSKILL_TXT_000018	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SUPPORT	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	IK3_AXE	=	=	_NONE	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	25	SI_MER_SUP_IMPOWERWEAPON	4	=	=	SR_BEFORE	0	0	=	XI_SKILL_MER_SUP_SMITEAXE01	=	XI_SKILL_MER_SUP_SMITEAXE02	=	=	MTI_MER_SHIELD_PANBARRIER	=	0	EXT_SELFCHGPARAMET	WUI_NOW	=	=	=	=	=	=	=	=	KT_SKILL	0	0	0	0	0	1	1	20	2135	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerSupSmitea.dds"""	0	""""""	IDS_PROPSKILL_TXT_000019
6	SI_MER_SUP_IMPOWERWEAPON	IDS_PROPSKILL_TXT_000020	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SUPPORT	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	IK3_ENCHANTWEAPON	=	=	_NONE	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	20	SI_MER_SHIELD_PROTECTION	5	=	=	SR_BEFORE	0	0	=	XI_SKILL_MER_SUP_IMPOWERWEAPON01	=	XI_SKILL_MER_SUP_IMPOWERWEAPON02	=	=	MTI_MER_SHIELD_PANBARRIER	=	0	EXT_SELFCHGPARAMET	WUI_NOW	=	=	DST_STR	=	RT_TIME	=	20000	=	KT_SKILL	0	0	0	0	0	1	1	20	2175	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerSupImpowe.dds"""	0	""""""	IDS_PROPSKILL_TXT_000021
6	SI_MER_ONE_BLOODYSTRIKE	IDS_PROPSKILL_TXT_000022	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SWORD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	20	SI_MER_ONE_SPLMASH	3	=	=	SR_AFTER	0	0	=	XI_SKILL_MER_ONE_BLOODYSTRIKE01	=	XI_SKILL_MER_ONE_BLOODYSTRIKE02	=	=	MTI_MER_ONE_BLOODYSTRIKE	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	10	=	KT_SKILL	0	0	0	0	0	=	1	20	2195	1	CT_CIRCLE	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_MerOneBloody.dds"""	0	""""""	IDS_PROPSKILL_TXT_000023
6	SI_MER_SUP_SWORDMASTER	IDS_PROPSKILL_TXT_000024	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SUPPORT	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	IK3_SWD	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	30	SI_MER_SUP_BLAZINGSWORD	9	=	=	SR_BEFORE	0	0	=	XI_SKILL_MER_ONE_MSUPPORT01	=	XI_SKILL_MER_ONE_SWORDMASTERY02	=	=	MTI_MER_SHIELD_PANBARRIER	=	=	EXT_SELFCHGPARAMET	WUI_NOW	=	=	=	=	=	=	=	=	KT_SKILL	0	0	0	0	0	1	1	20	3045	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerOneSmaste.dds"""	0	""""""	IDS_PROPSKILL_TXT_000025
6	SI_MER_SUP_AXEMASTER	IDS_PROPSKILL_TXT_000026	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SUPPORT	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	IK3_AXE	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	30	SI_MER_SUP_SMITEAXE	9	=	=	SR_BEFORE	0	0	=	XI_SKILL_MER_ONE_MSUPPORT01	=	XI_SKILL_MER_ONE_AXEMASTERY02	=	=	MTI_MER_SHIELD_PANBARRIER	=	=	EXT_SELFCHGPARAMET	WUI_NOW	=	=	=	=	=	=	=	=	KT_SKILL	0	0	0	0	0	1	1	20	3065	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MeroneAmaster.dds"""	0	""""""	IDS_PROPSKILL_TXT_000027
6	SI_MER_ONE_SPECIALHIT	IDS_PROPSKILL_TXT_000028	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SWORD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_FAR	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	30	SI_MER_ONE_BLINDSIDE	8	=	=	SR_AFTER	0	0	=	XI_SKILL_MER_ONE_SPECIALHIT01	=	XI_SKILL_MER_ONE_SPECIALHIT02	=	=	MTI_MER_ONE_SPECIAL	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	18	=	KT_SKILL	0	0	0	0	0	=	1	20	3085	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_MerOneSpHit.dds"""	0	""""""	IDS_PROPSKILL_TXT_000029
6	SI_MER_ONE_GUILOTINE	IDS_PROPSKILL_TXT_000030	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SWORD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_FAR	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	30	SI_MER_ONE_REFLEXHIT	10	=	=	SR_AFTER	0	0	=	XI_SKILL_MER_SHIELD_GUILOTIN01	XI_SKILL_MER_ONE_GUILOTIN02	XI_SKILL_MER_ONE_GUILOTIN02	=	=	MTI_MER_ONE_SPECIAL	=	=	EXT_MAGICATKSHOT	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	18	=	KT_SKILL	0	0	0	0	0	=	1	20	3105	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerOneGuillo.dds"""	0	""""""	IDS_PROPSKILL_TXT_000031
6	SI_MER_ONE_SNEAKER	IDS_PROPSKILL_TXT_000032	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SUPPORT	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_RANGE	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	20	SI_MER_SHIELD_PANBARRIER	10	=	=	SR_BEFORE	0	0	=	XI_SKILL_MER_SHIELD_SNEAKER01	=	XI_SKILL_MER_ONE_SNEAKER02	=	=	MTI_MER_ONE_SNAKE	=	=	EXT_ANOTHER	WUI_TARGETINGOBJ	SRO_DIRECT	=	=	=	=	=	=	=	KT_SKILL	0	0	0	0	0	=	1	20	3125	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerOneSenake.dds"""	0	""""""	IDS_PROPSKILL_TXT_000033
6	SI_MER_ONE_REFLEXHIT	IDS_PROPSKILL_TXT_000034	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SWORD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	25	SI_MER_ONE_BLOODYSTRIKE	8	=	=	SR_AFTER	0	0	=	XI_SKILL_MER_SHIELD_REFLEXHIT01	=	XI_SKILL_MER_ONE_REFLEXHIT02	=	=	MTI_MER_ONE_SPECIAL	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	20	=	KT_SKILL	0	0	0	0	0	=	1	20	3145	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_MerOneReflex.dds"""	0	""""""	IDS_PROPSKILL_TXT_000035
//																																						0	0																																																																																				
6	SI_KNT_SUP_GUARD	IDS_PROPSKILL_TXT_000036	1	1	JTYPE_PRO	JOB_KNIGHT	DIS_SUPPORT	JOB_KNIGHT	=	=	=	=	=	=	=	HD_TWO	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	62	=	=	=	=	SR_BEFORE	60000	=	=	XI_SKILL_KNT_SUP_SUPPORT01      	=	XI_SKILL_KNT_SUP_GUARD01      	=	=	MTI_KNT_SUP_CASTING01	=	0	EXT_SELFCHGPARAMET	WUI_NOW	=	=	=	=	=	=	=	=	KT_SKILL	0	0	0	0	0	1	1	10	2455	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_KntSupGuard.dds"""	0	""""""	IDS_PROPSKILL_TXT_000037
6	SI_KNT_SUP_PAINREFLECTION	IDS_PROPSKILL_TXT_000038	1	1	JTYPE_PRO	JOB_KNIGHT	DIS_SUPPORT	JOB_KNIGHT	=	=	=	=	=	=	=	HD_TWO	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	70	SI_KNT_SUP_RAGE	4	=	=	SR_BEFORE	0	=	=	XI_SKILL_KNT_SUP_SUPPORT01      	=	XI_SKILL_KNT_SUP_PAINREFLEXTION01      	=	=	MTI_KNT_SUP_CASTING01	=	0	EXT_SELFCHGPARAMET	WUI_NOW	=	=	DST_STA	=	RT_TIME	=	20000	=	KT_SKILL	0	0	0	0	0	1	1	10	2465	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_KntSupPairef.dds"""	0	""""""	IDS_PROPSKILL_TXT_000039
